Time,Sensor1,Sensor2
0.001,1355661,-2847444
0.002,1355661,-2847444
0.002,1355817,-2847897
0.003,1355817,-2847418
0.003,1355622,-2847418
0.004,1355622,-2847754
0.004,1355821,-2847754
0.005,1355661,-2847444
0.005,1355661,-2847444
0.005,0,0
0.005,0,0
0.006,0,0
0.006,0,0
0.006,0,0
0.006,0,0
0.006,0,0
0.007,0,0
0.007,0,0
0.007,1355793,-2847649
0.008,1355609,-2847649
0.008,1355609,-2847601
0.009,1355825,-2847601
0.009,1355825,-2847556
0.009,1355612,-2847556
0.01,1355612,-2847739
0.01,1355788,-2847739
0.011,1355584,-2847550
0.011,1355584,-2847550
0.011,1355723,-2847736
0.012,1355723,-2847605
0.012,1355623,-2847605
0.4265,1355710,-2847683
0.4265,1355710,-2847683
0.4275,1355619,-2847577
0.4275,1355619,-2847577
0.4285,1355704,-2847707
0.4285,1355678,-2847707
0.4295,1355678,-2847629
0.4295,1355735,-2847629
0.5523,1355735,-2847709
0.5523,1355681,-2847664
0.7948,1355681,-2847664
0.7958,1355708,-2847657
0.7968,1355649,-2847657
0.7978,1355649,-2847599
0.7988,1355730,-2847599
0.9763,1355730,-2847685
0.9773,1355636,-2847685
0.9773,1355694,-2847618
0.9783,1355694,-2847618
1.1363,1355708,-2847681
1.1373,1355708,-2847524
1.1383,1355660,-2847524
1.27,1355637,-2847691
1.271,1355637,-2847691
1.4183,1355557,-2847376
1.4183,1355557,-2847376
1.4193,1355847,-2848024
1.5578,1355847,-2848024
1.5578,1355510,-2847408
1.5588,1355822,-2847408
1.676,1355822,-2847976
1.676,1355494,-2847334
1.8057,1355494,-2847334
1.8067,1355758,-2847858
1.8077,1355641,-2847858
1.9786,1355641,-2847400
1.9796,1355746,-2847400
1.9796,1355746,-2847770
2.0852,1355689,-2847770
2.0862,1355594,-2847412
2.2202,1355594,-2847705
2.2212,1355624,-2847705
2.2212,1355624,-2847564
2.349,1355636,-2847564
2.35,1355636,-2847687
2.4923,1355589,-2847687
2.4938,1355656,-2847656
2.4949,1355656,-2847656
2.6266,1355543,-2847518
2.6266,1355543,-2847518
2.6276,1355707,-2847686
2.7659,1355540,-2847505
2.7669,1355540,-2847505
2.7669,1355738,-2847861
2.8666,1355738,-2847861
2.8666,1355401,-2848326
2.9929,1355273,-2848326
2.9929,1355273,-2852956
3.1209,1355476,-2852956
3.1219,1355476,-2854111
3.1248,1355629,-2854111
3.2255,1355671,-2854825
3.2267,1355671,-2855019
3.3605,1355567,-2855019
3.3615,1355567,-2855539
3.4989,1355610,-2855539
3.4989,1355610,-2854974
3.4999,1355526,-2854974
3.6379,1355565,-2855254
3.6389,1355565,-2855254
3.6399,1355207,-2855753
3.7816,1355207,-2855753
3.7825,1355305,-2856518
3.9209,1354999,-2855765
3.9219,1354999,-2855765
3.9219,1355203,-2855480
4.0252,1355203,-2855480
4.0252,1355686,-2855659
4.1568,1355739,-2855659
4.1578,1355739,-2855417
4.1588,1355863,-2855417
4.3194,1355863,-2855703
4.3203,1355852,-2855703
4.3223,1355852,-2855741
4.4819,1355739,-2855538
4.4829,1355804,-2855538
4.4839,1355804,-2855709
4.6391,1355768,-2855709
4.6391,1355768,-2855540
4.6401,1355839,-2855540
4.7789,1355713,-2855642
4.7799,1355713,-2855642
4.7809,1355790,-2855454
4.9045,1355790,-2855454
4.9055,1355764,-2855574
5.0091,1355762,-2855427
5.0091,1355762,-2855427
5.1416,1355694,-2855426
5.1426,1355694,-2855426
5.1436,1355551,-2855585
5.2621,1355551,-2855585
5.2621,1355127,-2855599
5.3818,1355183,-2855599
5.3828,1355183,-2855788
5.3839,1355201,-2855615
5.5021,1355201,-2855615
5.5031,1355387,-2855891
5.6469,1355410,-2855891
5.6469,1355410,-2855802
5.6479,1355830,-2855802
5.7474,1355830,-2856167
5.7484,1356445,-2856167
5.8668,1356384,-2855701
5.8668,1356384,-2855701
5.9699,1356471,-2856138
5.9699,1356471,-2855729
6.0765,1356302,-2855729
6.0765,1356302,-2855842
6.1832,1356343,-2855842
6.1842,1356108,-2855615
6.2973,1356108,-2855615
6.2988,1356154,-2855586
6.2988,1356154,-2855586
6.4154,1356115,-2855564
6.4154,1355971,-2855564
6.5236,1355971,-2855248
6.5246,1356016,-2855479
6.6335,1356016,-2855479
6.6345,1355726,-2854960
6.7827,1355836,-2854960
6.7837,1355836,-2855471
6.7837,1355587,-2855471
6.8868,1355587,-2854891
6.8878,1355454,-2854891
6.991,1355454,-2855130
6.991,1355400,-2855130
7.1508,1355152,-2854866
7.1518,1355152,-2854854
7.1518,1355129,-2854854
7.2876,1355129,-2854813
7.2886,1354978,-2854813
7.2886,1354828,-2854644
7.4289,1354828,-2854644
7.4289,1354744,-2854767
7.4299,1354744,-2854767
7.5628,1354513,-2854438
7.5638,1354455,-2854438
7.6783,1354455,-2854556
7.6793,1354213,-2854418
7.7998,1354213,-2854418
7.7998,1353977,-2854306
7.8013,1353977,-2854306
7.9099,1353900,-2854403
7.9109,1353722,-2854403
8.0815,1353722,-2854164
8.0825,1353585,-2854164
8.0845,1353585,-2854206
8.2404,1353455,-2854206
8.2404,1353274,-2853963
8.2414,1353274,-2853966
8.3559,1353213,-2853966
8.3559,1353213,-2853964
8.3569,1352982,-2853964
8.4795,1352806,-2853809
8.4805,1352806,-2853809
8.6059,1352710,-2853911
8.6059,1352710,-2853911
8.6059,1352574,-2853667
8.7099,1352574,-2853712
8.7099,1352473,-2853712
8.8394,1352367,-2853555
8.8394,1352367,-2853555
8.9792,1352598,-2850248
8.9802,1352598,-2850248
8.9802,1352279,-2839722
9.098,1350919,-2839722
9.098,1350919,-2834533
9.2024,1350639,-2834533
9.2041,1350639,-2836457
9.3372,1350840,-2837641
9.3372,1350375,-2837641
9.3382,1350375,-2834925
9.4646,1350167,-2834925
9.4646,1350167,-2834450
9.5714,1350428,-2834450
9.5714,1350428,-2836735
9.675,1350447,-2836735
9.676,1350027,-2835778
9.7823,1350027,-2835778
9.7823,1349349,-2834329
9.7845,1349349,-2835376
9.8872,1349320,-2835376
9.8882,1348903,-2835279
9.9925,1348903,-2835279
9.9935,1348951,-2834839
10.1015,1348951,-2834839
10.1025,1348825,-2834092
10.2296,1348874,-2834092
10.2296,1348874,-2833606
10.3889,1348994,-2833606
10.3889,1348994,-2834448
10.3899,1348961,-2834401
10.5141,1348802,-2834401
10.5151,1348802,-2833337
10.5161,1348877,-2833337
10.6231,1348877,-2832554
10.6241,1348987,-2832554
10.7283,1348987,-2833999
10.7283,1349115,-2833999
10.8327,1348743,-2833903
10.8327,1348743,-2833903
10.9378,1348948,-2832717
10.9378,1348948,-2832543
11.0411,1348781,-2832543
11.0411,1348305,-2832744
11.1587,1348305,-2832744
11.1597,1348028,-2833925
11.3035,1348028,-2833925
11.3044,1348069,-2832481
11.3064,1348019,-2832481
11.4262,1348019,-2831732
11.4262,1348554,-2831732
11.4262,1348554,-2833450
11.5374,1348581,-2833205
11.5374,1348581,-2833205
11.659,1348562,-2831613
11.659,1348726,-2831613
11.7633,1348726,-2832351
11.7633,1349196,-2832351
11.8619,1349196,-2833355
11.8619,1349294,-2833355
11.9596,1349483,-2832497
11.9606,1349483,-2831481
12.0562,1349771,-2831481
12.0573,1349771,-2832338
12.1557,1350200,-2832338
12.1567,1350322,-2832670
12.2507,1350322,-2832670
12.2507,1350431,-2831700
12.35,1350431,-2831700
12.35,1350920,-2831327
12.4519,1350920,-2831327
12.4519,1351328,-2831997
12.5545,1351335,-2832276
12.5555,1351335,-2832276
12.6598,1351380,-2831452
12.6598,1351380,-2831452
12.7616,1351441,-2830783
12.7616,1351595,-2830783
12.8751,1351595,-2831934
12.8751,1351626,-2831934
12.9757,1351626,-2831736
12.9767,1351429,-2831736
13.1085,1351549,-2830518
13.1085,1351549,-2831903
13.2485,1351173,-2831903
13.2485,1351173,-2834617
13.2495,1351442,-2834617
13.3454,1351442,-2835563
13.3454,1351683,-2835563
13.4649,1352391,-2835225
13.4649,1352391,-2835225
13.5837,1352740,-2832235
13.5837,1352740,-2832235
13.5847,1352734,-2831385
13.7139,1352415,-2831165
13.7149,1352415,-2831165
13.8319,1352438,-2830551
13.8327,1352438,-2830551
13.8327,1352390,-2831978
13.9354,1352366,-2831978
13.9354,1352366,-2833669
14.0607,1352962,-2833669
14.0618,1352962,-2834445
14.1627,1352858,-2834445
14.1627,1352858,-2834609
14.3049,1352865,-2834856
14.3059,1352715,-2834856
14.3059,1352715,-2834306
14.4289,1352715,-2834306
14.4289,1352715,-2834897
14.5319,1352638,-2834897
14.5329,1351420,-2834295
14.6667,1351420,-2834295
14.6676,1351527,-2834749
14.6686,1351527,-2834749
14.8293,1351510,-2835227
14.8303,1351237,-2834059
14.8313,1351237,-2834059
14.9508,1351704,-2834614
14.9519,1351704,-2834614
15.0615,1352001,-2835272
15.0615,1352001,-2835272
15.0625,1351804,-2834356
15.1598,1351944,-2834356
15.2561,1351944,-2835858
15.2571,1351868,-2843171
15.355,1351868,-2843171
