epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2054,1.72336,2.86736,1.70476,0.00333,1,0.63726,0.38091,1.34193,3.09994,1.59702,6e-05,6e-05,6e-05
2,53.943,1.28743,2.40295,1.40408,0.00333,1,0.995,0.7729,0.71885,2.93117,1.13262,0.000138614,0.000138614,0.000138614
3,77.5358,0.95487,1.8801,1.22747,0.00333,1,0.995,0.83276,0.58936,2.80282,1.01094,0.000215644,0.000215644,0.000215644
4,100.445,0.92637,1.42493,1.14792,0.00333,1,0.995,0.88866,0.50714,2.61298,0.95174,0.00029109,0.00029109,0.00029109
5,123.311,0.88537,1.40479,1.18373,0.79936,1,0.97357,0.82624,0.57755,2.62236,0.98569,0.000364952,0.000364952,0.000364952
6,146.359,0.8076,1.16879,1.0682,0.99936,0.92308,0.99,0.80045,0.67116,2.6072,1.06859,0.00043723,0.00043723,0.00043723
7,169.476,0.8812,1.13681,1.15925,1,0.85566,0.995,0.83537,0.66548,2.38393,1.07335,0.000507924,0.000507924,0.000507924
8,191.752,0.85381,1.0783,1.12374,1,0.76398,0.995,0.82483,0.67297,2.32533,1.13018,0.000577034,0.000577034,0.000577034
9,214.557,0.83363,1.20733,1.14855,1,0.64727,0.97572,0.76779,0.93118,2.55725,1.35463,0.00064456,0.00064456,0.00064456
10,238.857,0.76141,1.15758,1.07492,1,0.6641,0.84346,0.66771,1.02368,2.57955,1.40036,0.000710502,0.000710502,0.000710502
11,264.059,0.93784,1.22858,1.18215,1,0.90215,0.99,0.84085,0.72668,2.07495,1.1108,0.00077486,0.00077486,0.00077486
12,289.069,0.95933,1.25961,1.24805,0.961,1,0.995,0.82415,0.71201,1.80676,1.09235,0.000837634,0.000837634,0.000837634
13,314.02,0.80452,1.15343,1.07746,0.92168,1,0.97857,0.69975,0.94037,1.82732,1.29882,0.000898824,0.000898824,0.000898824
14,339.372,0.84333,1.08734,1.14215,0.98934,1,0.995,0.82177,0.67128,1.63642,1.06753,0.00095843,0.00095843,0.00095843
